# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	5927
#@/user_id	mac
a 	啊	c=58 d=5.96503 t=5927
lan 	懶	c=0 d=0.0298197 t=5927
lan ya 	藍牙	c=2 d=0.585669 t=5927
lao 	撈	c=0 d=0.0951229 t=5927
lao 	老	c=0 d=5.11883e-06 t=5927
lao ban 	老闆	c=1 d=0.132655 t=5927
lao luo ji 	老邏輯	c=1 d=5.14449e-05 t=5927
lao yi xie 	撈一些	c=1 d=0.955997 t=5927
le 	了	c=46 d=4.88202 t=5927
le ba 	了吧	c=1 d=0.690734 t=5927
le ba 	樂壩	c=1 d=0.687289 t=5927
le ge 	了個	c=1 d=1 t=5645
le guan 	樂觀	c=0 d=0.0348192 t=5927
le guan suo 	樂觀鎖	c=1 d=0.349938 t=5927
le ma 	了嗎	c=1 d=0.863378 t=5927
lei shi 	類時	c=2 d=0.918859 t=5927
lei si 	類似	c=5 d=2.59877 t=5927
lei xing 	類型	c=1 d=0.0539337 t=5927
leng 	冷	c=1 d=0.818731 t=5927
leng qi 	冷啓	c=6 d=0.0134408 t=5927
leng qi 	冷氣	c=8 d=1.60128 t=5927
leng qi dong 	冷啓動	c=4 d=0.790571 t=5927
li 	裏	c=11 d=1.48915 t=5927
li de 	裏的	c=5 d=1.86028 t=5927
li hang 	李航	c=2 d=0.537944 t=5927
li ji 	立即	c=0 d=1.88311e-06 t=5927
li ji du 	立即讀	c=1 d=1.89255e-05 t=5927
li jie 	理解	c=0 d=0.00953692 t=5927
li jie cheng ben 	理解成本	c=1 d=0.0958472 t=5927
li jing 	李经	c=1 d=0.511709 t=5927
li le 	利樂	c=1 d=0.261846 t=5927
li lun 	理論	c=1 d=0.440432 t=5927
li ma 	立馬	c=1 d=0.926959 t=5749
li ma cha 	立馬查	c=2 d=1.76721 t=5803
li mian 	裏面	c=1 d=0.167797 t=5927
li ru 	例如	c=3 d=0.323033 t=5927
li shi 	歷史	c=4 d=0.594521 t=5927
li shi shu ju 	歷史數據	c=1 d=0.0623495 t=5927
li yong 	利用	c=1 d=0.532592 t=5927
li zi 	栗子	c=1 d=0.0443785 t=5927
li zi 	理子	c=1 d=0.0441572 t=5927
lian 	練	c=1 d=0.000302025 t=5927
lian he 	聯合	c=1 d=0.0287246 t=5927
lian jie 	鏈接	c=1 d=0.0682212 t=5927
lian jie shu 	連接數	c=1 d=0.0150707 t=5927
lian tiao 	聯調	c=3 d=0.585669 t=5927
lian xi 	練習	c=2 d=0.817639 t=5927
lian xu 	連續	c=1 d=0.900325 t=5927
liang 	量	c=2 d=0.112478 t=5927
liang ge 	兩個	c=4 d=1.03282 t=5927
liang zhe 	兩者	c=1 d=0.543351 t=5927
liang zhong 	兩種	c=1 d=0.202909 t=5927
liao 	聊	c=0 d=0.00291588 t=5927
liao yi xia 	聊一下	c=1 d=0.0293049 t=5927
lie 	列	c=1 d=0.0909373 t=5927
lie kai 	裂開	c=1 d=0.226502 t=5927
lin hao 	林浩	c=1 d=0.062662 t=5927
lin lie 	凜冽	c=1 d=0.733447 t=5927
lin miao bin 	林苗鑌	c=3 d=1.92639 t=5927
lin miao bin 	林苗髕	c=1 d=0.955997 t=5927
lin shi 	林时	c=1 d=0.00670434 t=5927
lin shi 	臨時	c=5 d=0.0482692 t=5927
lin shi xing 	臨時性	c=1 d=0.00701293 t=5927
liu cun 	留存	c=1 d=0.918512 t=5927
liu lan 	瀏覽	c=1 d=0.951229 t=5927
liu lan qi 	瀏覽器	c=2 d=0.374339 t=5927
liu liang 	流量	c=6 d=0.469087 t=5927
liu xing 	流行	c=1 d=0.501576 t=5927
liu xing yu 	流星語	c=1 d=0.499074 t=5927
lou 	樓	c=1 d=1 t=5905
lu jing 	路徑	c=1 d=0.32628 t=5927
luo de 	落得	c=1 d=1 t=5681
luo ji 	邏輯	c=44 d=3.3187 t=5927
luo ji ji 	邏輯機	c=1 d=0.726149 t=5927
lv 	呂	c=1 d=0.913931 t=5927
ma 	嗎	c=37 d=6.64469 t=5927
ma 	碼	c=0 d=0.0891366 t=5927
ma fan 	麻煩	c=2 d=0.99005 t=5927
ma fan pi yi xia gong dan 	麻煩批一下工單	c=1 d=0.657047 t=5927
mai dian 	埋點	c=3 d=0.472367 t=5927
mai dian 	買點	c=1 d=0.470011 t=5927
man 	慢	c=2 d=0.60083 t=5927
man cha xun 	慢查詢	c=2 d=1.32409 t=5927
man le 	滿了	c=1 d=0.554327 t=5927
man yi du 	滿意度	c=1 d=0.425283 t=5927
man zhu 	曼珠	c=1 d=0.45612 t=5927
man zu 	滿足	c=2 d=0.579842 t=5927
mei 	沒	c=4 d=0.65377 t=5927
mei an zhao 	沒按照	c=1 d=0.431711 t=5927
mei biao 	沒標	c=1 d=0.759572 t=5927
mei ci 	每次	c=3 d=0.199001 t=5927
mei dao 	每到	c=1 d=0.554327 t=5927
mei di fang 	沒地方	c=0 d=0.0255381 t=5927
mei di fang qu 	沒地方去	c=1 d=0.256661 t=5927
mei dong xi 	沒東西	c=1 d=0.276651 t=5927
mei hang 	每行	c=1 d=0.909373 t=5927
mei jia 	沒加	c=1 d=0.737123 t=5927
mei le 	沒了	c=4 d=1.09585 t=5927
mei le bei 	沒了唄	c=1 d=1 t=5917
mei ne 	沒呢	c=1 d=0.0134335 t=5927
mei pi ci 	沒批次	c=1 d=0.000858778 t=5927
mei sha 	沒啥	c=2 d=0.472779 t=5927
mei sha yong 	沒啥用	c=1 d=0.937067 t=5927
mei shang 	沒上	c=1 d=0.272532 t=5927
mei shang qu 	沒上去	c=0 d=0.0666977 t=5927
mei shi guo 	沒試過	c=1 d=0.66365 t=5927
mei shi le 	沒事了	c=1 d=0.532592 t=5927
mei shou dao 	沒收到	c=1 d=0.900325 t=5927
mei wen ti 	沒問題	c=1 d=0.000315055 t=5927
mei xie ru 	沒寫入	c=1 d=0.000204488 t=5927
mei you 	沒有	c=25 d=2.56404 t=5927
mei you a 	沒有啊	c=3 d=1.38188 t=5927
mei you ba 	沒有吧	c=2 d=0.886313 t=5927
mei you de 	沒有的	c=1 d=0.00463092 t=5927
mei you le 	沒有了	c=1 d=1 t=5601
mei zhe tiao 	沒這條	c=1 d=0.324652 t=5927
mei zhong 	每種	c=1 d=0.358796 t=5927
mei zhou 	每週	c=0 d=0.0843665 t=5927
mei zhou wu 	每週五	c=1 d=0.847894 t=5927
mei zuo 	沒做	c=0 d=0.0909373 t=5927
mi 	密	c=1 d=0.690734 t=5927
mi deng 	冪等	c=7 d=1.87926 t=5927
mi deng 	迷瞪	c=1 d=0.324652 t=5927
mian ban 	面版	c=1 d=0.423162 t=5927
miao 	妙	c=1 d=0.494109 t=5927
miao a 	妙啊	c=1 d=0.118837 t=5927
miao a 	秒啊	c=5 d=0.548371 t=5927
min jian yi shu 	民間藝術	c=0 d=0.0516851 t=5927
min jian yi shu xing shi 	民間藝術形式	c=1 d=0.519442 t=5927
ming 	名	c=2 d=1.46327 t=5927
ming 	命	c=1 d=1 t=5859
ming ling 	命令	c=3 d=0.261041 t=5927
ming ling ni guang 	命令逆光	c=1 d=0.0858632 t=5927
ming ming 	命名	c=2 d=0.230653 t=5927
ming tian 	明天	c=1 d=0.00344787 t=5927
ming xi 	明希	c=1 d=0.410656 t=5927
ming xi 	明細	c=5 d=0.857571 t=5927
ming yue 	明月	c=1 d=0.932394 t=5927
ming zi 	名字	c=2 d=1.42356 t=5927
mo 	末	c=0 d=0.0313486 t=5927
mo ban 	模板	c=4 d=0.163051 t=5927
mo bu shi 	莫不是	c=1 d=0.537944 t=5927
mo hu 	模糊	c=1 d=0.729789 t=5927
mo hu sou suo 	模糊搜索	c=1 d=0.843665 t=5927
mo ji 	魔集	c=1 d=0.313486 t=5927
mo ji zhi shi dian 	末級知識點	c=1 d=0.315058 t=5927
mo nv 	魔女	c=2 d=1.86946 t=5927
mo ren 	魔人	c=1 d=0.690734 t=5927
mo ren 	默認	c=4 d=0.694197 t=5927
mo shi 	模式	c=1 d=0.771052 t=5927
mo xing 	模型	c=1 d=0.489192 t=5927
mou ge 	某個	c=1 d=4.29704e-05 t=5927
mu lu 	目錄	c=0 d=0.0752014 t=5927
mu lu shu 	目錄書	c=1 d=0.755784 t=5927
mu ti 	母題	c=5 d=0.886586 t=5927
mu ti 	母體	c=1 d=0.136695 t=5927
mu tong li 	木桶里	c=1 d=0.690734 t=5927
mu zi 	母子	c=1 d=0.08492 t=5927
mu zi ti 	母子題	c=2 d=0.0765355 t=5927
na 	拿	c=1 d=0.609571 t=5927
na 	那	c=6 d=0.825828 t=5927
na ben lai 	那本來	c=1 d=0.302704 t=5927
na bian 	那邊	c=2 d=0.367879 t=5927
na bu 	那不	c=0 d=0.0162838 t=5927
na bu de 	那不得	c=2 d=0.235383 t=5927
na bu neng 	那不能	c=1 d=0.163654 t=5927
na bu shi 	那不是	c=2 d=0.565525 t=5927
na dang ran 	那當然	c=0 d=0.0637628 t=5927
na dang ran shi 	那當然是	c=1 d=0.640824 t=5927
na gan qing 	那感情	c=1 d=0.460704 t=5927
na gan qing hao 	那感情號	c=1 d=1 t=5626
na ge 	哪個	c=1 d=0.524663 t=5927
na ge 	那個	c=12 d=1.37288 t=5927
na ge ba 	那個吧	c=1 d=0.105399 t=5927
na ge suan fa 	那個算法	c=1 d=0.932394 t=5927
na hai shi 	那還是	c=1 d=0.318224 t=5927
na jiu 	那就	c=2 d=0.400517 t=5927
na jiu shi 	那就是	c=1 d=1 t=5916
na ke 	那可	c=0 d=0.0559898 t=5927
na ke bu 	那可不	c=3 d=1.03001 t=5927
na ken ding 	那肯定	c=2 d=0.164058 t=5927
na ken ding shi 	那肯定是	c=1 d=0.562705 t=5927
na le 	拿了	c=1 d=0.031273 t=5927
na mei 	那沒	c=1 d=0.00170362 t=5927
na neng 	那能	c=2 d=0.0267528 t=5927
na ni 	那你	c=1 d=0.222017 t=5927
na que shi 	那確實	c=1 d=1 t=5628
na shi 	那是	c=3 d=0.831584 t=5927
na ta 	那他	c=1 d=0.105928 t=5927
na wo 	那我	c=2 d=0.867146 t=5927
na wo hai 	那我還	c=1 d=0.0389686 t=5927
na wo shi yao 	那我是要	c=1 d=0.904837 t=5927
na xian ran 	那顯然	c=1 d=0.494109 t=5927
na xie 	那些	c=1 d=0.582748 t=5927
na ye 	那也	c=0 d=0.0647265 t=5927
na ye de 	那也得	c=1 d=0.650509 t=5927
na ying gai 	那應該	c=1 d=0.0222592 t=5927
na zhe 	那這	c=1 d=0.831104 t=5927
na zhe ge 	那這個	c=1 d=0.0413782 t=5927
na zhi neng 	那智能	c=1 d=0.160414 t=5927
na zhi qian 	那之前	c=1 d=0.308819 t=5927
na zhou 	那周	c=1 d=0.479505 t=5927
nai cha 	奶茶	c=1 d=0.285076 t=5927
nan 	男	c=0 d=0.056836 t=5927
nan du 	難度	c=16 d=5.1666 t=5927
nan gao 	難搞	c=1 d=0.00615802 t=5927
nan shou 	難受	c=1 d=0.385977 t=5927
nan yi 	難以	c=5 d=0.172811 t=5927
nan yi huo de 	難以獲得	c=1 d=4.60861e-05 t=5927
ne 	呢	c=5 d=0.67368 t=5927
ne a 	呢啊	c=1 d=0.00477195 t=5927
ne ge 	呢個	c=0 d=0.0666977 t=5927
nei bu 	內部	c=4 d=0.000389896 t=5927
nei rong 	內容	c=4 d=2.01628 t=5927
neng 	能	c=4 d=1.59377 t=5927
neng bang mang 	能幫忙	c=1 d=0.918512 t=5927
neng bu neng 	能不能	c=2 d=0.729749 t=5927
neng ce 	能測	c=1 d=0.965605 t=5927
neng gong 	能攻	c=1 d=2.10208e-05 t=5927
neng gou 	能夠	c=2 d=0.0566989 t=5927
neng jia ge 	能加個	c=1 d=0.0378169 t=5927
neng li 	能力	c=2 d=0.29671 t=5927
neng ma fan 	能麻煩	c=1 d=0.0963276 t=5927
neng ti gong 	能提供	c=1 d=0.618783 t=5927
neng tong bu 	能同步	c=1 d=0.0862936 t=5927
neng xie wan 	能寫完	c=1 d=0.484325 t=5927
neng yong 	能用	c=1 d=0.65377 t=5927
neng yong an ma 	能永安嗎	c=1 d=0.0569831 t=5927
neng you 	能有	c=1 d=0.0328764 t=5927
ni 	你	c=11 d=1.59198 t=5927
ni ba 	你把	c=1 d=0.279431 t=5927
ni bu shi 	你不是	c=2 d=0.822536 t=5927
ni dang shi 	你當時	c=1 d=1 t=5918
ni de 	你的	c=3 d=0.540646 t=5927
ni de 	逆的	c=0 d=0.0467666 t=5927
ni de a 	逆的啊	c=1 d=0.470011 t=5927
ni deng 	你等	c=0 d=0.0644036 t=5927
ni deng hui 	你等會	c=1 d=0.647265 t=5927
ni dian jin qu 	你點進去	c=1 d=0.88692 t=5927
ni dou 	你都	c=1 d=1 t=5866
ni guang 	逆光	c=0 d=0.0085435 t=5927
ni hou mian 	你後面	c=2 d=0.640824 t=5927
ni jiu 	你就	c=1 d=0.211189 t=5927
ni jue de 	你覺得	c=1 d=0.117068 t=5927
ni kan 	你看	c=1 d=1 t=5865
ni ke yi 	你可以	c=3 d=0.831104 t=5927
ni lai 	你來	c=0 d=0.0251579 t=5927
ni lai ge 	你來個	c=1 d=0.25284 t=5927
ni men 	你們	c=10 d=1.78454 t=5927
ni men de 	你們的	c=1 d=0.0200916 t=5927
ni men ke yi 	你們可以	c=1 d=0.0232837 t=5927
ni men zen me 	你們怎麼	c=1 d=0.955997 t=5927
ni na bian 	你那邊	c=2 d=0.774916 t=5927
ni que ding 	你確定	c=1 d=0.509156 t=5927
ni shi 	你是	c=2 d=1.69205 t=5927
ni shi 	妳是	c=1 d=0.946485 t=5927
ni shi bu shi 	你是不是	c=1 d=0.0744532 t=5927
ni shi bu shi you du 	你是不是有毒	c=2 d=1.70426 t=5927
ni shuo shen me 	你說什麼	c=1 d=0.67032 t=5927
ni wei sha 	你爲啥	c=1 d=1 t=5869
ni xian 	你先	c=1 d=0.782705 t=5927
ni xian 	倪宪	c=1 d=0.778801 t=5927
ni xian zai 	你現在	c=1 d=0.499074 t=5927
ni yao 	你要	c=0 d=0.026054 t=5927
ni yao zuo de 	你要做的	c=1 d=0.261846 t=5927
ni ye 	你也	c=1 d=0.514274 t=5927
ni you 	你有	c=1 d=0.527292 t=5927
ni za 	你咋	c=1 d=0.0528657 t=5927
ni za le 	你咋了	c=1 d=0.402524 t=5927
ni zha 	泥渣	c=1 d=0.786628 t=5927
ni zhe 	你這	c=2 d=0.625002 t=5927
ni zhe ci 	你這次	c=1 d=0.790571 t=5927
ni zhe ge 	你這個	c=4 d=0.830735 t=5927
ni zhe kuai 	你這塊	c=1 d=0.56836 t=5927
nian 	年	c=0 d=3.38834e-05 t=5927
nian fen 	年份	c=1 d=0.000393669 t=5927
nian ji 	年紀	c=1 d=0.000401622 t=5927
nian ji 	年級	c=3 d=0.00150879 t=5927
nian ji 	年饥	c=1 d=0.000397625 t=5927
nong 	弄	c=1 d=1 t=5903
nong fu 	農夫	c=1 d=0.591555 t=5927
ou 	偶	c=0 d=0.0865022 t=5927
pai man 	排滿	c=0 d=0.0396531 t=5927
pai man ba 	排滿吧	c=1 d=0.398519 t=5927
pai qi 	排期	c=3 d=0.460704 t=5927
pai qi 	排氣	c=1 d=0.412714 t=5927
pai xu 	排序	c=1 d=0.214737 t=5927
pai xu de 	排序的	c=1 d=0.433874 t=5927
pan duan 	判斷	c=4 d=0.107312 t=5927
pao 	拋	c=1 d=0.00166989 t=5927
pao 	跑	c=1 d=0.519442 t=5927
pao chu 	拋出	c=1 d=0.00155699 t=5927
pao lu 	跑路	c=1 d=0.250324 t=5927
pei 	配	c=2 d=0.802519 t=5927
pei qi 	胚期	c=1 d=0.458406 t=5927
pei tao 	配套	c=1 d=0.319819 t=5927
pei wo 	陪我	c=1 d=0.0051953 t=5927
pei zhi 	配置	c=39 d=6.23759 t=5927
pei zhi le 	配置了	c=1 d=0.0590129 t=5927
peng dao 	碰到	c=0 d=0.1 t=5724
peng dao de 	碰到的	c=1 d=1 t=5725
pi 	批	c=2 d=0.604818 t=5927
pi ci 	批次	c=0 d=8.54495e-05 t=5927
pi ge 	批個	c=2 d=0.19707 t=5927
pi liang 	批量	c=5 d=1.7652 t=5927
pi pei 	匹配	c=1 d=0.83527 t=5927
pi xia 	批下	c=1 d=0.00431784 t=5927
pi yi xia 	批一下	c=2 d=0.995012 t=5927
pi yi xia a 	批一下啊	c=1 d=0.609571 t=5927
pian duan 	片斷	c=1 d=0.349938 t=5927
pin jie 	拼接	c=2 d=0.542676 t=5927
pin xie 	拼寫	c=5 d=2.89022 t=5927
pin yin 	拼音	c=1 d=0.937067 t=5927
ping gu 	平谷	c=1 d=0.918512 t=5927
ping gu 	評估	c=2 d=0.923116 t=5927
ping jing 	瓶頸	c=2 d=0.33622 t=5927
ping mu 	屏幕	c=4 d=3.57675 t=5741
ping shen 	憑神	c=1 d=0.00341356 t=5927
ping shen 	評審	c=2 d=0.00696583 t=5927
ping tai 	平台	c=3 d=0.792976 t=5927
ping yuan 	平原	c=1 d=0.571209 t=5927
po 	破	c=0 d=0.0367879 t=5927
po nan yi 	破難以	c=1 d=0.369723 t=5927
qi bu shi 	豈不是	c=1 d=0.273898 t=5927
qi dong 	啓動	c=3 d=0.854094 t=5927
qi dong le 	啓動了	c=1 d=1 t=5618
qi fei 	起飛	c=3 d=0.336542 t=5927
qi ge 	起個	c=2 d=0.225576 t=5927
qi jian 	其间	c=1 d=2.65893e-05 t=5927
qi qi guai guai 	奇奇怪怪	c=2 d=0.932394 t=5927
qi shi 	其實	c=3 d=0.67368 t=5927
qi yong 	啓用	c=1 d=0.00151098 t=5927
qia ge fan 	恰個飯	c=1 d=0.275271 t=5927
qian 	前	c=0 d=0.0449329 t=5927
qian duan 	前端	c=3 d=0.858239 t=5927
qian hou 	前後	c=0 d=0.00397558 t=5927
qian hou ce 	前後測	c=2 d=0.0819587 t=5927
qian liang 	前兩	c=0 d=0.0909373 t=5927
qian liang lie 	前兩列	c=1 d=0.913931 t=5927
qian mian 	前面	c=1 d=0.927743 t=5927
qian yi 	佥议	c=1 d=0.99005 t=5927
qian yi 	遷移	c=18 d=2.38099 t=5927
qian yi dao 	遷移到	c=5 d=0.221177 t=5927
qian zhui 	前綴	c=1 d=0.843665 t=5927
qiang xiang 	強項	c=1 d=0.83527 t=5927
qiang xing 	強行	c=2 d=0.839457 t=5927
qie 	且	c=8 d=0.533905 t=5927
qie 	切	c=1 d=0.090718 t=5927
qie huan 	切換	c=3 d=0.839457 t=5927
qie huan le 	切換了	c=1 d=0.000185956 t=5927
qing bu yao 	請不要	c=0 d=0.0865022 t=5927
qing bu yao shi yong 	請不要使用	c=1 d=0.869358 t=5927
qing jia 	請假	c=1 d=1 t=5818
qing kuang 	情況	c=8 d=1.74936 t=5927
qing kuang xia 	情況下	c=1 d=0.000234044 t=5927
qing qiu 	請求	c=5 d=0.260869 t=5927
qing qiu liang 	請求量	c=1 d=0.0137049 t=5927
qing xi 	清晰	c=1 d=0.150318 t=5927
qing xi 	清洗	c=1 d=0.149569 t=5927
qu 	去	c=6 d=0.855461 t=5927
qu 	取	c=3 d=0.463013 t=5927
qu chong 	去重	c=3 d=0.297425 t=5927
qu chu 	去除	c=3 d=0.67368 t=5927
qu dao 	區道	c=1 d=0.0258615 t=5927
qu de 	取得	c=2 d=0.429557 t=5927
qu fen 	區分	c=1 d=0.0637348 t=5927
qu guang gao 	去廣告	c=1 d=0.474734 t=5927
qu le 	去了	c=1 d=0.45612 t=5927
qu ma 	去嗎	c=1 d=1 t=5813
qu zuo 	去做	c=1 d=0.138761 t=5927
quan 	全	c=0 d=7.63639e-06 t=5927
quan 	圈	c=5 d=3.60593 t=5927
quan bei 	全被	c=1 d=0.276651 t=5927
quan bu de 	全部的	c=0 d=0.0122456 t=5927
quan bu de ti 	全部的題	c=1 d=0.12307 t=5927
quan chang jing 	全場景	c=1 d=7.67467e-05 t=5927
quan ji 	全集	c=1 d=4.36198e-05 t=5927
quan ju 	全局	c=3 d=0.944723 t=5927
quan liang 	全量	c=2 d=0.869358 t=5927
quan pin 	全拼	c=1 d=0.918512 t=5927
quan xian 	權限	c=7 d=3.11012 t=5927
que bao 	確保	c=3 d=0.000323915 t=5927
que ding 	確定	c=4 d=1.39558 t=5927
que ren 	確認	c=0 d=0.0562705 t=5927
que ren xia 	確認下	c=1 d=0.565525 t=5927
que shi 	確實	c=4 d=0.601792 t=5927
qun 	羣	c=1 d=0.941765 t=5927
ran feng 	燃風	c=1 d=0.634448 t=5927
ran hou 	然後	c=4 d=0.995012 t=5927
rang 	讓	c=3 d=0.514274 t=5927
re 	熱	c=0 d=0.0511709 t=5927
re di sheng 	熱地聲	c=1 d=0.514274 t=5927
ren a 	人啊	c=1 d=0.119433 t=5927
ren gong 	人工	c=2 d=0.726149 t=5927
ren jia 	人家	c=1 d=1 t=5855
ren men 	人們	c=1 d=0.579842 t=5927
ren meng 	人夢	c=1 d=0.57695 t=5927
ren shu 	人數	c=1 d=0.167797 t=5927
ren wu 	任務	c=3 d=1.48512 t=5927
ri zhi 	日誌	c=5 d=0.297913 t=5927
ru 	如	c=0 d=7.50328e-05 t=5927
ru guo 	如果	c=2 d=0.744532 t=5927
ru jian 	入間	c=2 d=1.86951 t=5927
ru xue 	入學	c=1 d=0.000428228 t=5927
ru xue de 	入學的	c=1 d=0.000367055 t=5927
ruan jian 	軟件	c=7 d=4.35426 t=5927
sa huang 	撒謊	c=0 d=0.000486835 t=5927
san ji 	三极	c=1 d=0.865022 t=5927
san ji 	三級	c=1 d=0.869358 t=5927
san luo 	散落	c=1 d=0.180866 t=5927
san tian 	三天	c=1 d=0.235746 t=5927
san wu cheng qun 	三五成群	c=1 d=0.585669 t=5927
sao zhi 	掃值	c=1 d=0.0031042 t=5927
sha 	啥	c=3 d=0.391879 t=5927
sha de 	啥的	c=4 d=0.631284 t=5927
sha dou 	啥都	c=0 d=0.066034 t=5927
sha dou mei you a 	啥都沒有啊	c=1 d=0.66365 t=5927
sha shou men 	殺手們	c=1 d=0.771052 t=5927
sha ye 	啥也	c=1 d=0.267135 t=5927
sha zi 	啥子	c=2 d=0.257947 t=5927
shan chu 	刪除	c=2 d=0.524663 t=5927
shan le 	刪了	c=1 d=0.339596 t=5927
shang 	上	c=8 d=0.824572 t=5927
shang a 	上啊	c=1 d=0.216536 t=5927
shang de 	上的	c=1 d=0.814647 t=5927
shang ge 	上個	c=2 d=0.346456 t=5927
shang ge 	商格	c=1 d=0.344728 t=5927
shang le 	上了	c=1 d=0.269817 t=5927
shang le ge 	上了個	c=1 d=0.0135009 t=5927
shang liang 	商量	c=1 d=0.217635 t=5927
shang liang yi xia 	商量一下	c=1 d=0.0327124 t=5927
shang mi 	商謎	c=0 d=0.067368 t=5927
shang mi ang 	商謎昂	c=1 d=0.677057 t=5927
shang mian 	上面	c=4 d=1.17078 t=5927
shang qu 	上去	c=1 d=0.559898 t=5927
shang xian 	上線	c=5 d=1.41176 t=5927
shang xian 	上限	c=4 d=1.64072 t=5927
shang xian le 	上線了	c=1 d=0.726149 t=5927
shang yi ban 	上一版	c=1 d=0.00733572 t=5927
shang yi ci 	上一次	c=1 d=0.847894 t=5927
shang yi ge 	上一個	c=1 d=0.822835 t=5927
shang you 	上游	c=1 d=0.729789 t=5927
shang zhang 	上張	c=1 d=0.00873865 t=5927
shang zhang 	上漲	c=4 d=0.628718 t=5927
shang zhou 	上週	c=1 d=0.774916 t=5927
shang zhou wu 	上週五	c=1 d=1 t=5629
shao le 	少了	c=1 d=0.000407691 t=5927
shao yi dian 	少一點	c=0 d=0.1 t=5725
she ji 	涉及	c=3 d=2.51807 t=5927
she ji dao 	涉及到	c=1 d=5.11754e-05 t=5927
she ji dao de 	涉及到的	c=1 d=7.37374e-05 t=5927
she me 	什麼	c=5 d=0.727951 t=5927
she zhang 	社長	c=1 d=0.657047 t=5927
she zhi 	設置	c=12 d=3.2679 t=5927
shen bing 	神兵	c=0 d=0.0362402 t=5927
shen bing xiao jing 	神兵小徑	c=1 d=0.364219 t=5927
shen he 	審覈	c=1 d=2.22093e-05 t=5927
shen me shi hou 	什麼時候	c=2 d=0.852144 t=5927
shen me yi si 	什麼意思	c=1 d=0.543351 t=5927
shen qing 	申請	c=1 d=0.923116 t=5927
shen ti 	身體	c=2 d=1.84366 t=5872
sheng cheng 	生成	c=2 d=0.971226 t=5927
sheng de 	省得	c=1 d=0.290835 t=5927
sheng ji 	升級	c=4 d=1.16253 t=5927
sheng ji 	聲級	c=1 d=0.847894 t=5927
sheng ji ban 	升級版	c=1 d=0.400517 t=5927
sheng ji ge 	升級個	c=1 d=1 t=5605
sheng le 	升了	c=1 d=0.000633025 t=5927
sheng xiao 	生效	c=1 d=0.640824 t=5927
sheng xue 	升學	c=0 d=3.38834e-05 t=5927
sheng xue nian 	升學年	c=3 d=0.00161988 t=5927
shi 	是	c=55 d=3.33852 t=5927
shi 	時	c=13 d=1.05461 t=5927
shi a 	是啊	c=1 d=0.332871 t=5927
shi a ba 	是啊吧	c=1 d=0.232236 t=5927
shi a bi 	是啊比	c=1 d=0.429557 t=5927
shi ba 	十八	c=1 d=0.444858 t=5927
shi ba 	是吧	c=4 d=0.70551 t=5927
shi ba 	是把	c=1 d=0.000854495 t=5927
shi bai 	失敗	c=13 d=2.60534 t=5927
shi bai de 	失敗的	c=1 d=0.50409 t=5927
shi bao cuo de 	是報錯的	c=1 d=0.00194986 t=5927
shi bie 	識別	c=1 d=0.0689068 t=5927
shi bu shi 	是不是	c=8 d=1.53003 t=5927
shi dai 	是帶	c=1 d=0.99005 t=5927
shi dan ti 	是單題	c=1 d=0.13466 t=5927
shi dao 	十道	c=1 d=0.189747 t=5927
shi dao ti 	十道題	c=1 d=0.084163 t=5927
shi de 	是的	c=3 d=2.05353 t=5927
shi de a 	是的啊	c=1 d=0.985112 t=5927
shi fou 	是否	c=4 d=0.522046 t=5927
shi gai bu liao 	是改不了	c=1 d=0.0178634 t=5927
shi gan sha de 	是幹啥的	c=1 d=0.847894 t=5927
shi ge 	十個	c=1 d=0.0800583 t=5927
shi ge 	是個	c=1 d=0.0804596 t=5927
shi hou 	時候	c=7 d=1.00421 t=5927
shi hui 	师会	c=1 d=0.00161245 t=5927
shi hui 	是會	c=1 d=0.00162866 t=5927
shi hui 	蒔繪	c=1 d=0.00162053 t=5927
shi ji 	實際	c=6 d=1.87103 t=5927
shi jian 	事件	c=9 d=2.07961 t=5927
shi jian 	時間	c=7 d=1.12799 t=5927
shi jian chuo 	時間戳	c=1 d=0.00621991 t=5927
shi ke yi 	是可以	c=2 d=0.767329 t=5927
shi liang ge 	是兩個	c=1 d=0.763379 t=5927
shi mei wen ti 	是沒問題	c=1 d=0.000837575 t=5927
shi mei you 	是沒有	c=1 d=0.290835 t=5927
shi min yi shi 	使民以时	c=1 d=0.540641 t=5927
shi ni 	是你	c=1 d=0.0798637 t=5927
shi ni men 	是你們	c=1 d=0.0246002 t=5927
shi ni men de a 	是你們的啊	c=1 d=0.0214936 t=5927
shi ni zhe bian 	是你這邊	c=1 d=0.229925 t=5927
shi pei 	適配	c=6 d=0.741158 t=5927
shi pei xing 	適配行	c=2 d=0.410161 t=5927
shi qu 	時區	c=2 d=0.926963 t=5927
shi shen me 	是什麼	c=10 d=2.00572 t=5927
shi shi 	實時	c=1 d=0.0488012 t=5927
shi shi de 	實時的	c=2 d=0.377192 t=5927
shi shi hou 	是時候	c=1 d=0.600496 t=5927
shi shi xing 	實時性	c=2 d=0.302989 t=5927
shi shuo 	是說	c=1 d=0.0157644 t=5927
shi suan 	是算	c=1 d=0.0930145 t=5927
shi wu 	事務	c=3 d=0.96476 t=5927
shi wu ge 	十五個	c=1 d=0.847894 t=5927
