# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	58
#@/user_id	rime_ice
a 	啊	c=2731 d=5.96503 t=58
shi shui 	是谁	c=26 d=0.14457 t=58
shi shui de 	是谁的	c=2 d=2.01965e-05 t=58
shi shui le 	是谁了	c=1 d=2.6256e-33 t=58
shi shuo 	是说	c=63 d=0.715524 t=58
shi shuo de shui 	是说的谁	c=1 d=1.26053e-18 t=58
shi shuo shui 	是说谁	c=1 d=1.24071e-08 t=58
shi shuo yong 	是说用	c=1 d=2.51707e-07 t=58
shi su 	世俗	c=1 d=0.00265848 t=58
shi suan 	是算	c=2 d=0.0930145 t=58
shi suan duo 	是算多	c=1 d=3.30064e-19 t=58
shi suan fa 	是算法	c=1 d=0.00141589 t=58
shi suo you 	是所有	c=1 d=0.271173 t=58
shi ta 	是他	c=2 d=4.33123e-10 t=58
shi tan 	十碳	c=1 d=3.10515e-36 t=58
shi tang 	食堂	c=10 d=0.000258659 t=58
shi ti 	实体	c=2 d=0.00882647 t=58
shi ti 	尸体	c=3 d=0.000469776 t=58
shi ti 	试题	c=15 d=9.73454e-09 t=58
shi ti ri guang neng 	试题日光能	c=1 d=9.78334e-08 t=58
shi tiao 	十条	c=1 d=1.49092e-81 t=58
shi tiao zhuan 	是跳转	c=1 d=0.00694315 t=58
shi tong guo 	是通过	c=1 d=6.27027e-39 t=58
shi tong yi 	是统一	c=2 d=4.49711e-11 t=58
shi tong yi ge 	是同一个	c=2 d=3.26558e-11 t=58
shi tu 	视图	c=3 d=8.88879e-19 t=58
shi wan 	十万	c=2 d=1.5106e-15 t=58
shi wang 	失望	c=5 d=6.33133e-06 t=58
shi wang le 	失望了	c=1 d=1.89217e-32 t=58
shi wei hu huang 	是谓惚恍	c=0 d=1.30025e-31 t=58
shi wei hu huang cu 	是谓惚恍粗	c=1 d=1.30676e-30 t=58
shi wei le 	是为了	c=6 d=0.0300468 t=58
shi wei sha 	是为啥	c=1 d=2.09843e-14 t=58
shi wen 	十问	c=1 d=3.13476e-30 t=58
shi wo 	实我	c=22 d=0.0223741 t=58
shi wo 	是我	c=21 d=0.0224829 t=58
shi wo de 	是我的	c=2 d=3.117e-23 t=58
shi wo de ma 	是我的吗	c=1 d=3.13263e-22 t=58
shi wo gei 	是我给	c=1 d=7.3041e-11 t=58
shi wo jia 	是我家	c=1 d=1.7746e-42 t=58
shi wo men 	使我们	c=3 d=4.51966e-11 t=58
shi wo qu 	实我去	c=1 d=1.04888e-32 t=58
shi wo xie de 	是我写的	c=1 d=4.99127e-61 t=58
shi wo zai 	是我在	c=1 d=0.0378169 t=58
shi wo zhe 	是我这	c=3 d=1.11203e-14 t=58
shi wo zhe ge 	是我这个	c=1 d=6.28563e-09 t=58
shi wo zuo 	是我做	c=3 d=3.63015e-09 t=58
shi wu 	事务	c=13 d=0.96476 t=58
shi wu 	事物	c=1 d=4.15348e-17 t=58
shi wu 	失误	c=1 d=3.67993e-34 t=58
shi wu 	食物	c=2 d=5.88686e-32 t=58
shi wu ai 	十无碍	c=0 d=4.79408e-29 t=58
shi wu ai ne le 	十无碍呢了	c=1 d=4.81811e-28 t=58
shi wu de 	事物的	c=1 d=2.0033e-27 t=58
shi wu ge 	十五个	c=1 d=0.847894 t=58
shi wu qian li 	史无前例	c=1 d=1.13311e-29 t=58
shi wu xing 	事务性	c=1 d=0.537944 t=58
shi xi 	实习	c=2 d=4.26225e-27 t=58
shi xi ai na 	是喜爱那	c=1 d=5.35626e-09 t=58
shi xi sheng 	实习生	c=2 d=0.0771446 t=58
shi xia 	世下	c=9 d=1.11723e-10 t=58
shi xia lai 	是下来	c=1 d=3.78865e-53 t=58
shi xia ni 	世下你	c=1 d=2.79042e-14 t=58
shi xian 	事先	c=12 d=0.749338 t=58
shi xian 	实现	c=387 d=2.29505 t=58
shi xian 	实线	c=3 d=0.0117558 t=58
shi xian 	视线	c=1 d=0.0731678 t=58
shi xian cheng ben 	实现成本	c=1 d=0.17552 t=58
shi xian de 	实现的	c=7 d=1.36435e-08 t=58
shi xian guo de 	实现过得	c=1 d=0.290835 t=58
shi xian le 	实现了	c=11 d=0.0350844 t=58
shi xian le ba 	实现了吧	c=1 d=5.53273e-08 t=58
shi xian na 	实现那	c=1 d=1.21279e-05 t=58
shi xian shang 	实现上	c=3 d=1.00933e-21 t=58
shi xian yi xia 	实现一下	c=2 d=2.5358e-06 t=58
shi xiang 	事相	c=3 d=0.0184074 t=58
shi xiang zhe 	是想着	c=1 d=7.45419e-15 t=58
shi xiao 	失效	c=6 d=0.000103597 t=58
shi xiao 	时效	c=3 d=2.08726e-10 t=58
shi xiao le 	失效了	c=2 d=0.852144 t=58
shi xiao xing 	时效性	c=13 d=0.401538 t=58
shi xiao xue 	是小学	c=1 d=9.32999e-38 t=58
shi xin de 	是新的	c=1 d=0.0181334 t=58
shi xing 	实行	c=0 d=0.000708341 t=58
shi xing le 	实行了	c=1 d=0.00711891 t=58
shi xiong 	师兄	c=2 d=0.000198445 t=58
shi xu 	时序	c=1 d=4.01131e-19 t=58
shi xu tu 	时序图	c=7 d=3.58145e-07 t=58
shi xu yao 	是需要	c=2 d=0.722527 t=58
shi ya 	是呀	c=3 d=7.26972e-14 t=58
shi ya gen 	是压根	c=1 d=1.10815e-61 t=58
shi yan 	实验	c=112 d=0.339099 t=58
shi yan 	时延	c=61 d=0.315108 t=58
shi yan de 	实验的	c=4 d=0.000129402 t=58
shi yan luo ji 	实验逻辑	c=1 d=2.57177e-54 t=58
shi yan ping tai 	实验平台	c=2 d=4.03772e-08 t=58
shi yan zu 	实验组	c=9 d=8.30276e-06 t=58
shi yao 	是要	c=76 d=1.55694 t=58
shi yao de 	是要的	c=2 d=5.10354e-58 t=58
shi yao gan sha 	是要干啥	c=1 d=1.03168e-14 t=58
shi yao huan 	是要换	c=1 d=1.28281e-77 t=58
shi yao lai de 	是要来的	c=1 d=4.07124e-17 t=58
shi yao qu 	是要去	c=1 d=0.236928 t=58
shi yao yong 	是要用	c=1 d=2.28693e-26 t=58
shi yao you de ba 	是要有的把	c=1 d=0.0239928 t=58
shi yao zai 	是要在	c=1 d=9.34777e-31 t=58
shi yao zhe ge 	是要这个	c=1 d=0.00491728 t=58
shi ye 	失业	c=2 d=8.32211e-15 t=58
shi ye 	视野	c=2 d=2.06579e-06 t=58
shi yi 	是一	c=1 d=0.0509156 t=58
shi yi dao 	是一道	c=1 d=0.10435 t=58
shi yi dian 	是一点	c=1 d=1.15821e-22 t=58
shi yi fang mian 	是一方面	c=1 d=0.511709 t=58
shi yi ge 	十一哥	c=1 d=6.85609e-31 t=58
shi yi ge 	是一个	c=42 d=0.090338 t=58
shi yi jing 	失译经	c=1 d=1.04007e-21 t=58
shi yi kai shi 	是一开始	c=3 d=3.17284e-25 t=58
shi yi qi 	是一起	c=1 d=1.10916e-13 t=58
shi yi shi 	试一试	c=3 d=3.36732e-19 t=58
shi yi shou ge 	是一首歌	c=1 d=0.0103063 t=58
shi yi xia 	试一下	c=15 d=0.0246012 t=58
shi yi xue 	释义学	c=1 d=0.625002 t=58
shi yi yang 	是一样	c=4 d=3.93736e-06 t=58
shi yi yang de 	是一样的	c=7 d=1.1485e-11 t=58
shi yi zhi 	是一只	c=1 d=1.39017e-52 t=58
shi yin wei 	是因为	c=18 d=0.425304 t=58
shi yin wei en 	是因为恩	c=2 d=5.71987e-17 t=58
shi ying 	适应	c=5 d=0.0590129 t=58
shi ying gai 	是应该	c=1 d=9.61085e-34 t=58
shi yo jian ge 	是哟间隔	c=1 d=2.30028e-65 t=58
shi yong 	使用	c=369 d=2.6446 t=58
shi yong 	实用	c=1 d=5.27275e-30 t=58
shi yong 	是用	c=7 d=0.802519 t=58
shi yong 	适用	c=5 d=0.210136 t=58
shi yong de 	实用的	c=2 d=0.305746 t=58
shi yong de 	是用的	c=1 d=1.96217e-77 t=58
shi yong de shi 	使用的事	c=1 d=3.19928e-05 t=58
shi yong fang 	是永芳	c=1 d=1.60245e-18 t=58
shi yong guo 	是用过	c=1 d=0.540641 t=58
shi yong jia ge 	使用加个	c=1 d=6.33092e-64 t=58
shi yong lai 	是用来	c=1 d=5.53932e-22 t=58
shi yong le 	使用了	c=3 d=0.031117 t=58
shi yong liang 	使用量	c=1 d=6.68795e-33 t=58
shi yong lv 	使用率	c=5 d=0.204954 t=58
shi yong qi 	试用期	c=1 d=0.000155324 t=58
shi yong ta 	使用它	c=2 d=2.09701e-06 t=58
shi yong yong 	使用用	c=1 d=0.00216573 t=58
shi yong yu 	适用于	c=3 d=0.024972 t=58
shi yong zhong 	使用中	c=1 d=5.49916e-54 t=58
shi you 	实有	c=3 d=0.0134906 t=58
shi you 	室友	c=1 d=2.55116e-13 t=58
shi you 	是有	c=41 d=0.0446041 t=58
shi you de 	是有的	c=14 d=0.0146253 t=58
shi you ge 	是有个	c=4 d=1.9145e-23 t=58
shi you ji lu 	是有记录	c=1 d=1.50421e-09 t=58
shi you le 	是有了	c=2 d=3.26724e-17 t=58
shi you sha 	是有啥	c=1 d=0.442639 t=58
shi you she me 	是有什么	c=2 d=6.96823e-16 t=58
shi you suo 	是有所	c=1 d=0.514274 t=58
shi you wen ti 	是有问题	c=1 d=0.00280879 t=58
shi you xian 	是有限	c=2 d=1.47417e-07 t=58
shi you xiao 	是有效	c=1 d=0.0561348 t=58
shi you xie 	是有些	c=1 d=5.60184e-07 t=58
shi you yi ge 	是有一个	c=2 d=1.68432e-16 t=58
shi you yi xie 	是有一些	c=1 d=5.88906e-07 t=58
shi you yu 	是由于	c=6 d=1.17166 t=58
shi you zhang 	是有张	c=1 d=1.43802e-09 t=58
shi yue 	十月	c=2 d=2.24272e-24 t=58
shi yue di 	十月底	c=1 d=1.57259e-32 t=58
shi zai 	实在	c=3 d=0.715338 t=58
shi zai 	是在	c=25 d=0.878095 t=58
shi zai yi qi 	是在一起	c=1 d=3.59102e-11 t=58
shi zai yu 	是在于	c=1 d=3.60779e-07 t=58
shi zen me yang 	是怎么样	c=1 d=1.71036e-20 t=58
shi zhao wo 	是找我	c=1 d=9.0715e-31 t=58
shi zhe 	使者	c=3 d=0.000500451 t=58
shi zhe 	是这	c=1 d=3.0322e-21 t=58
shi zhe ci 	是这次	c=1 d=8.32378e-19 t=58
shi zhe fan 	是这番	c=1 d=0.0536647 t=58
shi zhe ge 	是这个	c=14 d=1.78329 t=58
shi zhe ge hao 	是这个号	c=1 d=0.591555 t=58
shi zhe ge ma 	是这个吗	c=1 d=0.704688 t=58
shi zhe yang 	是这样	c=13 d=0.771052 t=58
shi zhe yang de 	是这样的	c=2 d=0.000800719 t=58
shi zhen 	失真	c=1 d=4.7293e-15 t=58
shi zhen 	是真	c=4 d=0.0523397 t=58
shi zhen de 	是真的	c=3 d=1.39504e-05 t=58
shi zhen di 	是真滴	c=2 d=6.08722e-14 t=58
shi zheng ge 	是整个	c=1 d=3.07373e-34 t=58
shi zheng ti 	是整体	c=2 d=0.000949097 t=58
shi zhi 	是指	c=23 d=0.00124328 t=58
shi zhi de 	是指的	c=1 d=0.715338 t=58
shi zhi dui 	是只对	c=1 d=1.65097e-16 t=58
shi zhi jie 	是直接	c=5 d=0.477114 t=58
shi zhi kan 	是只看	c=1 d=1.2942e-34 t=58
shi zhi yao 	是只要	c=2 d=0.298197 t=58
shi zhi you 	是只有	c=1 d=0.522046 t=58
shi zhong 	始终	c=3 d=0.000347412 t=58
shi zhong 	时钟	c=3 d=1.23894e-13 t=58
shi zhong chuang ye 	时钟创业	c=1 d=2.18556e-22 t=58
shi zhong xue 	是中学	c=1 d=7.35924e-70 t=58
shi zi 	式子	c=16 d=0.289384 t=58
shi zi 	狮子	c=2 d=2.82672e-19 t=58
shi zou 	是走	c=1 d=2.13015e-14 t=58
shi zui xin 	是最新	c=1 d=2.16271e-16 t=58
shi zuo le she me 	是做了什么	c=1 d=3.85664e-27 t=58
shi zuo shen me 	是做什么	c=3 d=1.19409e-28 t=58
shi zuo tian 	是昨天	c=1 d=3.07383e-05 t=58
shou 	兽	c=1 d=1.2088e-25 t=58
shou 	手	c=6 d=0.0944202 t=58
shou 	收	c=31 d=0.0671139 t=58
shou 	首	c=22 d=0.119433 t=58
shou ba shou 	手把手	c=1 d=6.01416e-19 t=58
shou biao 	手表	c=3 d=9.43118e-12 t=58
shou bing 	手柄	c=1 d=0.0724398 t=58
shou bu liao 	受不了	c=2 d=0.718924 t=58
shou bu liao le 	受不了了	c=1 d=9.10147e-11 t=58
shou ce 	手册	c=4 d=2.85173e-05 t=58
shou ci 	首次	c=5 d=0.000789727 t=58
shou da 	首答	c=5 d=1.27028 t=58
shou dao 	受到	c=16 d=0.782705 t=58
shou dao 	收到	c=1 d=0.0561348 t=58
shou dao le 	受到了	c=1 d=3.06371e-25 t=58
shou dao le 	收到了	c=2 d=5.80237e-09 t=58
shou dao le ma 	受到了吗	c=1 d=3.30581e-08 t=58
shou dong 	手动	c=22 d=0.318224 t=58
shou duan 	手段	c=22 d=0.0861446 t=58
shou fa 	手法	c=1 d=9.55316e-22 t=58
shou fa 	收发	c=3 d=2.99311e-06 t=58
shou fa 	首发	c=1 d=1.79591e-06 t=58
shou fei 	收费	c=10 d=0.0739031 t=58
shou fu 	首富	c=3 d=4.99244e-05 t=58
shou ge 	首个	c=5 d=2.31975e-09 t=58
shou gong 	手工	c=1 d=3.68506e-21 t=58
shou guo 	瘦果	c=1 d=1.55002e-09 t=58
shou heng 	守恒	c=2 d=1.62949e-09 t=58
shou hou 	售后	c=1 d=8.97818e-27 t=58
shou huan 	手环	c=2 d=9.27121e-12 t=58
shou hui lai 	收回来	c=1 d=0.0066709 t=58
shou huo 	收获	c=3 d=1.55779e-09 t=58
shou huo 	收货	c=2 d=1.56559e-09 t=58
shou ji 	手机	c=22 d=0.339596 t=58
shou ji 	收集	c=40 d=0.674117 t=58
shou ji duan 	手机端	c=1 d=6.78903e-33 t=58
shou ji hao 	手机号	c=1 d=9.79e-16 t=58
shou ji ke 	手机克	c=1 d=6.33456e-12 t=58
shou kou 	收口	c=2 d=9.30115e-31 t=58
shou le 	收了	c=1 d=3.02385e-18 t=58
shou li 	手里	c=1 d=6.77035e-30 t=58
shou lian 	收敛	c=2 d=0.215456 t=58
shou liu 	收留	c=0 d=1.63315e-07 t=58
shou liu ne 	收留呢	c=1 d=1.64134e-06 t=58
shou lu 	收录	c=3 d=0.00190171 t=58
shou lun 	首轮	c=49 d=0.890872 t=58
shou lun de 	首轮的	c=3 d=0.983301 t=58
shou mai 	售卖	c=1 d=1.59283e-06 t=58
shou ming shi 	寿命是	c=5 d=7.78557e-27 t=58
shou na 	手拿	c=1 d=0.0119742 t=58
shou qi 	收起	c=2 d=6.41042e-05 t=58
shou qian 	收钱	c=1 d=0.00199922 t=58
shou quan 	授权	c=4 d=0.00869506 t=58
shou shang 	手上	c=1 d=3.6768e-25 t=58
shou shang de 	受伤的	c=1 d=7.52222e-63 t=58
shou shen 	瘦身	c=1 d=7.45141e-40 t=58
shou shua 	收刷	c=1 d=6.39823e-12 t=58
shou shua 	首刷	c=1 d=0.00047843 t=58
shou su 	手速	c=2 d=1.63027e-27 t=58
shou sun 	受损	c=1 d=3.47271e-58 t=58
shou suo 	收缩	c=1 d=2.71496e-15 t=58
shou ti 	首题	c=9 d=0.865467 t=58
shou wei 	首尾	c=4 d=0.00489275 t=58
shou xi 	首席	c=1 d=1.48358e-23 t=58
shou xian 	受限	c=1 d=8.5035e-35 t=58
shou xian 	首先	c=26 d=0.15259 t=58
shou xie 	手写	c=1 d=0.000115067 t=58
shou xu fei 	手续费	c=1 d=3.19255e-39 t=58
shou ye 	首页	c=23 d=0.000370744 t=58
shou yi 	收益	c=31 d=0.854922 t=58
shou you 	手游	c=1 d=1.822e-73 t=58
shou you 	收有	c=1 d=1.6466e-73 t=58
shou you de ma 	手游的吗	c=1 d=1.67986e-73 t=58
shou zhe 	守着	c=1 d=3.43056e-32 t=58
shou zhi 	手指	c=1 d=5.10648e-06 t=58
shou zi 	首字	c=19 d=0.054204 t=58
shou zi mu 	首字母	c=1 d=0.000523486 t=58
shu 	书	c=4 d=0.999064 t=58
shu 	数	c=23 d=0.00249286 t=58
shu 	树	c=48 d=1.58422 t=58
shu 	竖	c=1 d=9.51168e-59 t=58
shu 	鼠	c=1 d=0.995012 t=58
shu ben 	书本	c=1 d=5.26827e-20 t=58
shu biao 	鼠标	c=8 d=2.2873 t=58
shu biao dian 	鼠标垫	c=1 d=3.05372e-16 t=58
shu cang 	书仓	c=4 d=2.67419 t=58
shu cang 	数仓	c=73 d=1.31286 t=58
shu cang 	数藏	c=1 d=1.07748e-25 t=58
shu cang ba 	数仓吧	c=1 d=1.43231e-21 t=58
shu cang de 	数仓的	c=1 d=0.0555762 t=58
shu cang zhe bian 	数仓这边	c=1 d=1.37096e-06 t=58
shu chang 	书场	c=2 d=1.9241e-23 t=58
shu chu 	输出	c=294 d=1.32715 t=58
shu chu de 	输出的	c=6 d=2.53055e-11 t=58
shu chu diao 	输出掉	c=1 d=8.21775e-74 t=58
shu chu lai 	输出来	c=0 d=4.95456e-34 t=58
shu chu lai de 	输出来的	c=1 d=4.97939e-33 t=58
shu chu le 	输出了	c=5 d=2.43008e-05 t=58
shu chu wei 	输出为	c=2 d=0.00096344 t=58
shu fu 	舒服	c=4 d=1.16925e-16 t=58
shu fu le 	舒服了	c=1 d=5.90933e-18 t=58
shu hou 	术后	c=0 d=0.00488012 t=58
shu hou cu 	术后粗	c=7 d=0.0490458 t=58
shu jin lai 	输进来	c=0 d=1.48227e-43 t=58
shu jin lai de 	输进来的	c=1 d=1.4897e-42 t=58
shu ju 	数据	c=933 d=5.48354 t=58
shu ju a 	数据啊	c=1 d=1.70623e-21 t=58
shu ju ba 	数据吧	c=2 d=1.29958e-24 t=58
shu ju biao 	数据表	c=2 d=9.31699e-51 t=58
shu ju bu yi zhi 	数据不一致	c=1 d=0.000880518 t=58
shu ju cha xun 	数据查询	c=1 d=1.82765e-65 t=58
shu ju de 	数据的	c=4 d=1.37476e-09 t=58
shu ju guo da 	数据过大	c=1 d=8.34817e-24 t=58
shu ju ji 	数据集	c=3 d=0.000100535 t=58
shu ju ku 	数据库	c=50 d=0.735411 t=58
shu ju ku ma 	数据库吗	c=1 d=1.6316e-83 t=58
shu ju le 	数据了	c=1 d=2.02785e-82 t=58
shu ju li 	数据里	c=1 d=3.47083e-81 t=58
shu ju liang 	数据量	c=18 d=1.02514 t=58
shu ju liang ji 	数据量级	c=1 d=3.94688e-05 t=58
shu ju liu 	数据流	c=1 d=1.17695e-05 t=58
shu ju ma 	数据吗	c=2 d=0.000166586 t=58
shu ju ne 	数据呢	c=1 d=2.01746e-51 t=58
shu ju shang 	数据上	c=1 d=4.9342e-14 t=58
shu ju shi 	数据时	c=3 d=2.35866e-07 t=58
shu ju yan zheng 	数据验证	c=1 d=0.826959 t=58
shu ju yuan 	数据源	c=6 d=0.418956 t=58
shu lai 	数来	c=0 d=4.87084e-10 t=58
shu lai gai nian 	数来概念	c=1 d=4.89525e-09 t=58
shu le 	输了	c=2 d=6.8764e-07 t=58
shu li 	梳理	c=13 d=0.783975 t=58
shu lian 	熟练	c=4 d=0.000531398 t=58
shu lian de 	熟练的	c=1 d=5.88185e-22 t=58
shu lian he guo 	树联合国	c=1 d=2.46623e-61 t=58
shu liang 	数量	c=156 d=2.29599 t=58
shu liang ji 	数量级	c=2 d=0.00122477 t=58
shu lie 	数列	c=6 d=2.2502e-12 t=58
shu mu 	数目	c=36 d=0.666977 t=58
shu mu 	树木	c=3 d=0.759572 t=58
shu pian 	薯片	c=1 d=1.02741e-24 t=58
shu po 	叔婆	c=0 d=2.11075e-25 t=58
shu qiu 	输球	c=1 d=0.251579 t=58
shu ru 	输入	c=98 d=3.3478 t=58
shu ru de 	输入的	c=0 d=1.73922e-12 t=58
shu ru fa 	输入法	c=31 d=5.12583 t=58
shu ru fang an 	输入方案	c=3 d=2.72601 t=58
shu ru li 	输入里	c=1 d=3.16196e-14 t=58
shu ru shu chu 	输入输出	c=1 d=1.60545e-40 t=58
shu ru ying 	树茹蝇	c=1 d=1.89416e-15 t=58
shu shi 	属实	c=16 d=0.0911727 t=58
shu shi 	术士	c=1 d=6.47485e-05 t=58
shu shi 	舒适	c=1 d=0.29523 t=58
shu shu 	叔叔	c=1 d=1.84771e-17 t=58
shu shuo 	述说	c=1 d=9.54442e-70 t=58
shu tiao 	薯条	c=2 d=1.76402e-22 t=58
shu wang 	树王	c=1 d=1.55694e-32 t=58
shu wo 	恕我	c=0 d=0.0980199 t=58
shu wo zhi yan 	恕我知言	c=1 d=0.985112 t=58
shu xi 	熟悉	c=7 d=4.67826e-05 t=58
shu xing 	属性	c=11 d=0.0505762 t=58
shu xu guan 	鼠须管	c=4 d=2.50615 t=58
shu xue 	书学	c=1 d=0.17552 t=58
shu xue 	数学	c=69 d=0.1764 t=58
shu xue de 	数学的	c=2 d=0.011496 t=58
shu xue ti 	数学题	c=3 d=2.33036e-12 t=58
shu xue zhong 	数学中	c=1 d=2.14703e-48 t=58
shu yao 	树妖	c=0 d=1.42638e-32 t=58
shu yao shi 	树妖是	c=1 d=1.43353e-31 t=58
shu yu 	属于	c=35 d=0.495124 t=58
shu yu 	术语	c=1 d=3.77116e-28 t=58
shu yu shi 	属于是	c=1 d=2.06361e-23 t=58
shu zhi 	数值	c=2 d=3.36388e-07 t=58
shu zhu 	数珠	c=1 d=2.09075e-59 t=58
shu zi 	数字	c=26 d=0.0720785 t=58
shu zu 	数组	c=27 d=0.140156 t=58
shua 	刷	c=31 d=0.141736 t=58
shua bu liao 	刷不了	c=1 d=0.0157644 t=58
shua bu shua 	刷不刷	c=1 d=6.74806e-50 t=58
shua dao 	刷到	c=4 d=0.00597602 t=58
shua dao de 	刷到的	c=1 d=0.00467746 t=58
shua dao guo 	刷道果	c=1 d=6.38388e-15 t=58
shua de ma 	刷的吗	c=1 d=4.9384e-24 t=58
shua diao 	刷掉	c=0 d=1.34217e-22 t=58
shua diao le 	刷掉了	c=1 d=1.3489e-21 t=58
shua ge 	刷个	c=3 d=0.000518277 t=58
shua guo 	刷过	c=2 d=5.05739e-10 t=58
shua guo yi ci 	刷过一次	c=1 d=0.826959 t=58
shua le 	刷了	c=3 d=0.00554422 t=58
shua li wu 	刷利物	c=1 d=0.0145524 t=58
shua man 	刷满	c=1 d=1.6558e-21 t=58
shua shu ju 	刷数据	c=14 d=3.47796 t=58
shua shu ju le 	刷数据了	c=1 d=0.647265 t=58
shua shua 	刷刷	c=2 d=7.99468e-15 t=58
shua ti 	刷题	c=5 d=1.49025e-17 t=58
shua wan 	刷完	c=3 d=0.000201369 t=58
shua wan le 	刷完了	c=5 d=3.7127e-21 t=58
shua wan na 	刷完那	c=1 d=0.000246044 t=58
shua wu lai 	耍无赖	c=1 d=4.43846e-33 t=58
shua xin 	刷新	c=3 d=0.000105163 t=58
shua yi bian 	刷一遍	c=1 d=4.86539e-84 t=58
shua yi shou 	刷一手	c=1 d=3.75044e-22 t=58
shua yi xia 	刷一下	c=2 d=0.0165727 t=58
shuai 	帅	c=3 d=8.37717e-06 t=58
shuai 	甩	c=1 d=6.41916e-21 t=58
shuai ge 	帅哥	c=1 d=8.71905e-06 t=58
shuai guo 	甩锅	c=1 d=1.25467e-22 t=58
shuang 	双	c=2 d=3.32637e-05 t=58
shuang 	爽	c=3 d=0.126818 t=58
shuang chong 	双重	c=1 d=2.42291e-29 t=58
shuang du 	双读	c=2 d=0.000408886 t=58
shuang gong 	双工	c=1 d=5.9216e-13 t=58
shuang ji 	双击	c=1 d=0.00516939 t=58
shuang mian 	双面	c=0 d=3.06799e-13 t=58
shuang mian gui 	双面龟	c=2 d=1.20277e-11 t=58
shuang mo mo xing 	双膜模型	c=1 d=1.39334e-20 t=58
shuang pai 	双排	c=9 d=0.00487226 t=58
shuang pai le 	双排了	c=1 d=1.04475e-15 t=58
shuang pin 	双拼	c=1 d=0.873716 t=58
shuang ren 	双人	c=2 d=3.71893e-11 t=58
shuang shi 	双十	c=0 d=1.81396e-07 t=58
shuang shi yi 	双十一	c=2 d=1.82305e-06 t=58
shuang wen 	爽文	c=1 d=3.71932e-71 t=58
shuang xi 	双喜	c=1 d=2.24363e-07 t=58
shuang xie 	双写	c=13 d=0.00125647 t=58
shuang xie le 	双写了	c=1 d=5.19602e-34 t=58
shuang xiu 	双休	c=1 d=2.24127e-24 t=58
shuang xiu 	双修	c=3 d=2.23009e-24 t=58
shuang yin hao 	双引号	c=5 d=0.00739709 t=58
shuang yue 	双月	c=2 d=4.98973e-28 t=58
shuang zhou 	双周	c=0 d=0.0802519 t=58
shuang zhou hui 	双周会	c=1 d=0.806541 t=58
shui 	水	c=9 d=0.000191125 t=58
shui 	睡	c=3 d=5.10822e-10 t=58
shui 	谁	c=57 d=0.467386 t=58
shui a 	谁啊	c=4 d=3.22638e-16 t=58
shui bei 	水杯	c=3 d=1.00521e-61 t=58
shui bian 	蜕变	c=1 d=3.27403e-12 t=58
shui bu shi 	谁不是	c=1 d=3.55468e-09 t=58
shui bu zhao 	睡不着	c=1 d=2.30717e-12 t=58
shui bu zhao 	睡不著	c=1 d=2.28421e-12 t=58
shui ce 	谁测	c=4 d=2.22168e-09 t=58
shui dai zhe shui 	谁带着谁	c=1 d=1.97046e-09 t=58
shui dao 	睡到	c=0 d=1.73857e-37 t=58
shui dao xing 	睡到醒	c=1 d=1.74729e-36 t=58
shui de 	睡得	c=2 d=1.64441e-19 t=58
shui de 	谁的	c=2 d=1.08123e-08 t=58
shui dui shui 	谁对谁	c=1 d=6.50931e-38 t=58
shui fang shui 	谁放水	c=1 d=0.423162 t=58
shui guan 	水管	c=0 d=9.39653e-05 t=58
shui guan ni 	水管你	c=1 d=0.000944363 t=58
shui guo 	水果	c=2 d=5.28216e-80 t=58
shui guo qu 	睡过去	c=1 d=1.17571e-22 t=58
shui hui 	谁会	c=1 d=1.02965e-79 t=58
shui ji 	水迹	c=1 d=2.69582e-20 t=58
shui jiao 	睡觉	c=11 d=0.0603506 t=58
shui jiao qu 	睡觉去	c=1 d=1.85281e-20 t=58
shui jin xing 	谁进行	c=1 d=7.66659e-22 t=58
shui jun 	水军	c=1 d=1.42958e-28 t=58
shui kuan 	税款	c=1 d=1.82299e-35 t=58
shui lai 	谁来	c=0 d=0.000543443 t=58
shui lai pei 	谁来配	c=1 d=0.00546167 t=58
shui le 	水了	c=0 d=6.8103e-12 t=58
shui le 	睡了	c=2 d=2.38813e-06 t=58
shui mian 	睡眠	c=1 d=4.78333e-31 t=58
shui neng 	谁能	c=1 d=1.24455e-15 t=58
shui ping 	水平	c=8 d=1.06219 t=58
shui ping de 	水平的	c=1 d=1.56746e-23 t=58
shui qu 	谁去	c=1 d=3.22508e-70 t=58
shui qun 	水群	c=1 d=2.5633e-74 t=58
shui ran 	谁然	c=2 d=2.8968e-13 t=58
shui rang 	谁让	c=0 d=3.33608e-28 t=58
shui ru 	水乳	c=1 d=5.21674e-22 t=58
shui shang 	水上	c=4 d=8.93561e-07 t=58
shui shen huo re 	水深火热	c=3 d=2.01547e-10 t=58
shui shui 	水水	c=3 d=5.38716e-22 t=58
shui shui de 	水水的	c=1 d=5.01219e-22 t=58
shui shui shui 	谁谁谁	c=1 d=1.33108e-41 t=58
shui xian 	谁先	c=1 d=7.30783e-17 t=58
shui xing 	睡醒	c=2 d=7.55553e-09 t=58
shui yao 	谁要	c=2 d=8.52434e-05 t=58
shui yi shui 	水一水	c=1 d=9.88503e-12 t=58
shui you kong 	谁有空	c=3 d=1.43085e-09 t=58
shui yu 	水域	c=1 d=1.53115e-12 t=58
shui zhao 	睡着	c=4 d=6.96586e-12 t=58
